,Time,Volume
0,0.0,0.88
1,1.8207712173461914,0.98
2,1.8207712173461914,0.98
3,1.8207712173461914,0.79
4,1.8207712173461914,1.09
5,1.8218579292297363,0.92
6,1.9392614364624023,0.9
7,1.9392614364624023,1.03
8,1.9392614364624023,1.26
9,1.9392614364624023,1.25
10,1.9392614364624023,1.17
11,2.0549399852752686,1.22
12,2.0549399852752686,1.21
13,2.05595064163208,1.11
14,2.05595064163208,1.44
15,2.05595064163208,1.49
16,2.05595064163208,1.04
17,2.1895506381988525,1.13
18,2.190126419067383,1.23
19,2.190206289291382,1.1
20,2.190206289291382,1.02
21,2.190206289291382,1.33
22,2.30641508102417,1.36
23,2.30641508102417,1.3
24,2.30641508102417,1.12
25,2.30641508102417,1.34
26,2.3074190616607666,1.08
27,2.4228971004486084,0.84
28,2.4228971004486084,0.98
29,2.4228971004486084,1.3
30,2.4228971004486084,1.06
31,2.4228971004486084,0.98
32,2.4228971004486084,1.24
33,2.5573384761810303,1.26
34,2.5573384761810303,0.97
35,2.5573384761810303,1.43
36,2.5573384761810303,1.52
37,2.5578343868255615,1.17
38,2.673795461654663,1.16
39,2.673795461654663,1.29
40,2.673795461654663,1.15
41,2.673795461654663,1.41
42,2.673795461654663,1.12
43,2.791670322418213,0.87
44,2.791670322418213,0.96
45,2.791670322418213,0.92
46,2.791670322418213,0.85
47,2.791670322418213,1.18
48,2.791670322418213,0.86
49,2.92484450340271,1.09
50,2.92484450340271,1.06
51,2.92484450340271,0.93
52,2.92484450340271,0.81
53,2.92484450340271,0.79
54,3.042384386062622,0.86
55,3.042384386062622,0.8
56,3.042384386062622,0.76
57,3.042384386062622,1.01
58,3.042384386062622,1.13
59,3.159064531326294,1.01
60,3.1596977710723877,0.67
61,3.1596977710723877,0.97
62,3.1596977710723877,0.96
63,3.1596977710723877,1.13
64,3.1596977710723877,1.16
65,3.293511152267456,0.82
66,3.293511152267456,0.66
67,3.294224739074707,0.89
68,3.294224739074707,0.83
69,3.294224739074707,0.92
70,3.4095842838287354,1.08
71,3.410491943359375,0.93
72,3.410491943359375,0.86
73,3.410491943359375,0.93
74,3.410491943359375,0.91
75,3.5268490314483643,0.98
76,3.5271549224853516,0.94
77,3.5271549224853516,0.89
78,3.5271549224853516,1.14
79,3.5271549224853516,0.98
80,3.5271549224853516,0.97
81,3.6606922149658203,0.92
82,3.6606922149658203,1.11
83,3.661344528198242,1.17
84,3.661344528198242,1.02
85,3.661344528198242,0.71
86,3.77864146232605,0.79
87,3.77864146232605,0.95
88,3.7791314125061035,1.01
89,3.7791314125061035,0.94
90,3.7791314125061035,1.03
91,3.896514415740967,1.05
92,3.896514415740967,0.97
93,3.896514415740967,0.99
94,3.896514415740967,1.15
95,3.896514415740967,1.41
96,3.8975236415863037,1.3
97,4.029272079467773,1.29
98,4.029272079467773,1.4
99,4.029272079467773,1.3
100,4.03028416633606,1.0
101,4.03028416633606,0.94
102,4.147505521774292,0.77
103,4.147505521774292,0.66
104,4.147505521774292,0.73
105,4.147505521774292,0.82
106,4.147505521774292,0.76
107,4.263966798782349,0.94
108,4.263966798782349,1.11
109,4.263966798782349,0.77
110,4.263966798782349,1.03
111,4.263966798782349,0.8
112,4.2649760246276855,0.99
113,4.397978782653809,1.1
114,4.397978782653809,0.95
115,4.397978782653809,1.1
116,4.397978782653809,1.04
117,4.397978782653809,1.04
118,4.514782905578613,1.19
119,4.514782905578613,1.28
120,4.514782905578613,1.21
121,4.514782905578613,1.14
122,4.514782905578613,1.04
123,4.631194353103638,1.07
124,4.631194353103638,0.92
125,4.631194353103638,1.0
126,4.631194353103638,1.03
127,4.632150650024414,0.92
128,4.632150650024414,0.89
129,4.76531982421875,0.8
130,4.76531982421875,0.97
131,4.76531982421875,1.04
132,4.76531982421875,0.98
133,4.76531982421875,1.22
134,4.8829121589660645,1.13
135,4.8829121589660645,1.18
136,4.8829121589660645,1.27
137,4.8829121589660645,1.15
138,4.8839592933654785,1.04
139,4.9995057582855225,1.53
140,4.9995057582855225,1.12
141,4.9995057582855225,1.5
142,4.9995057582855225,1.36
143,5.000766754150391,1.24
144,5.000766754150391,1.23
145,5.134314060211182,1.15
146,5.134314060211182,1.08
147,5.134314060211182,1.38
148,5.134314060211182,1.27
149,5.135362148284912,1.22
150,5.25061821937561,1.11
151,5.25061821937561,1.13
152,5.25061821937561,1.11
153,5.25061821937561,1.23
154,5.25061821937561,1.58
155,5.367715120315552,1.39
156,5.368175506591797,1.25
157,5.368175506591797,1.2
158,5.368175506591797,1.25
159,5.368175506591797,1.28
160,5.368175506591797,1.55
161,5.5008745193481445,1.27
162,5.5008745193481445,1.11
163,5.501944303512573,1.14
164,5.501944303512573,1.29
165,5.501944303512573,0.93
166,5.618574619293213,0.96
167,5.618574619293213,0.97
168,5.618574619293213,1.13
169,5.618574619293213,1.42
170,5.618574619293213,0.99
171,5.736021518707275,0.99
172,5.736021518707275,1.34
173,5.736021518707275,1.02
174,5.736021518707275,1.19
175,5.736021518707275,1.25
176,5.737086296081543,1.13
177,5.8702099323272705,1.07
178,5.8702099323272705,1.29
179,5.871159315109253,1.05
180,5.871159315109253,1.12
181,5.871159315109253,1.27
182,5.987880706787109,1.13
183,5.987880706787109,0.98
184,5.987880706787109,0.99
185,5.988378047943115,0.96
186,5.988378047943115,1.27
187,6.1044580936431885,1.26
188,6.1044580936431885,1.25
189,6.1044580936431885,1.25
190,6.1044580936431885,1.1
191,6.1044580936431885,1.33
192,6.10546612739563,1.07
193,6.238739728927612,1.3
194,6.238739728927612,1.16
